time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2015-08-25 00:00:00,-0.9224551593181861,-8.103917999999965,908.5145981500004,991.896082,1.821278825319904,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",54.028459999999995,62.13237799999996,40,44
2015-08-26 00:00:00,-6.042020163307342,-13.627224999999967,903.2674565000004,986.372775,1.9921751131584815,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",54.028459999999995,67.65568499999996,40,45
2015-08-27 00:00:00,-3.958800249866514,-16.62560799999997,900.4189926500004,983.3743920000001,2.0338021841673766,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",54.028459999999995,70.65406799999997,40,46
2015-08-28 00:00:00,-4.359316757134211,-16.969052999999974,900.0927199000004,983.030947,2.02277320988074,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",54.028459999999995,70.99751299999997,40,47
2015-08-31 00:00:00,-4.8071703091451115,-16.477078999999975,900.5600952000003,983.522921,2.012591911657949,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",54.520433999999995,70.99751299999997,41,47
2015-09-01 00:00:00,-73.41011849925121,-11.798512999999971,905.0047329000004,988.201487,2.12832220157387,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",59.199,70.99751299999997,42,47
2015-09-02 00:00:00,-3.900866853837127,-16.087185999999974,900.9304935500004,983.912814,2.222528060728441,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",59.199,75.28618599999997,42,48
2015-09-03 00:00:00,-8.186559809873504,-14.258458999999974,902.6677842000004,985.741541,2.229171491634144,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",61.027727,75.28618599999997,43,48
2015-09-04 00:00:00,-12.712231569107557,-13.237347999999969,1000.0000000000003,986.762652,2.222565440214928,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,75.28618599999997,44,48
2015-09-07 00:00:00,-11.873467121297097,-13.237347999999969,1000.0000000000003,986.762652,2.2101035517928995,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,75.28618599999997,44,48
2015-09-08 00:00:00,-4.277066091662349,-13.237347999999969,1000.0000000000003,986.762652,2.197780625394083,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,75.28618599999997,44,48
2015-09-09 00:00:00,-7.507096810982066,-13.237347999999969,1000.0000000000003,986.762652,2.1855943496659114,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,75.28618599999997,44,48
2015-09-10 00:00:00,-4.092305111875562,-13.237347999999969,900.7276676000004,986.762652,2.173542464230549,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,75.28618599999997,44,48
2015-09-11 00:00:00,-3.281069994801074,-14.759740999999977,899.2813942500004,985.240259,2.174512743602375,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,76.80857899999998,44,49
2015-09-14 00:00:00,-3.1628421592811686,-15.780843999999973,1000.0000000000005,984.219156,2.1684441563222805,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,77.82968199999998,44,50
2015-09-15 00:00:00,-3.0429088897125065,-15.780843999999973,897.4559103500005,984.219156,2.1567168649182786,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.048838,77.82968199999998,44,50
2015-09-16 00:00:00,-3.011487810819106,-15.660177999999974,897.3412776500005,984.339822,2.145194070183434,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.169504,77.82968199999998,45,50
2015-09-17 00:00:00,-3.8298490384856825,-17.97160999999997,899.5371380500005,982.0283900000001,2.162775052491103,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.169504,80.14111399999997,45,51
2015-09-18 00:00:00,-4.525481336141689,-18.407903999999974,1000.0000000000006,981.5920960000001,2.152331912786146,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.169504,80.57740799999998,45,52
2015-09-21 00:00:00,-3.73462013272068,-18.407903999999974,1000.0000000000006,981.5920960000001,2.14097785020543,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.169504,80.57740799999998,45,52
2015-09-22 00:00:00,-4.644241176061829,-18.407903999999974,899.9956992500006,981.5920960000001,2.1297429305116387,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",62.169504,80.57740799999998,45,52
2015-09-23 00:00:00,-4.117209940307352,-17.55388499999998,1000.0000000000006,982.446115,2.1224955947572637,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",63.023523,80.57740799999998,46,52
2015-09-24 00:00:00,-3.6855273391962213,-17.55388499999998,1000.0000000000006,982.446115,2.1114595772662996,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",63.023523,80.57740799999998,46,52
2015-09-25 00:00:00,-3.800880861580463,-17.55388499999998,1000.0000000000006,982.446115,2.100537716281947,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",63.023523,80.57740799999998,46,52
2015-09-28 00:00:00,-5.219602748024064,-17.55388499999998,900.8422927000006,982.446115,2.0897282498924423,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",63.023523,80.57740799999998,46,52
